id,published_date,title,source,tags,crawl_date,tickers,day_name
94514901,2026-04-15 14:27:45.793000+00:00,"Wall Street consolide, les rsultats de socits en soutien",reuters.com,"['2026:Ml_Kbn3Qs1Ml', '2026:Ml_Kbn3Qs1Ml-Ofrbs', '2026:Ml_Kbn3Qs1Ml-Ofrbs:1', '2026:Ml_Kbn3Qs1Ml:1', '2026:Ml_Kbn3Qs1Mm', '2026:Ml_Kbn3Qs1Mm-Ofrbs', '2026:Ml_Kbn3Qs1Mm-Ofrbs:1', '2026:Ml_Kbn3Qs1Mm:1', '2026:Ml_L8N40Y0Uw', '2026:Ml_L8N40Y0Uw:1426804759', 'Consumer Cyclical', 'Financial Services', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Usn:Kbn3Qs1Ml', 'Usn:Kbn3Qs1Ml-Ofrbs', 'Usn:Kbn3Qs1Mm', 'Usn:Kbn3Qs1Mm-Ofrbs', 'Usn:L8N40Y0Uw', 'Vguid:Tag:Reuters.Com']",2026-04-15 14:49:04.061559+00:00,"['avgo', 'bac', 'meta', 'ms', 'nke', 'snap']",Wednesday
94514993,2026-04-15 14:26:32.593000+00:00,"EU warns Meta WhatsApp AI fee breaches antitrust rules, orders rollback",reuters.com,"['2026:Ml_Kbn3Qs1Ec', '2026:Ml_Kbn3Qs1Ec:1', '2026:Ml_Kbn3Qs1Ec:2', '2026:Ml_Kbn3Qs1Ec:3', '2026:Ml_Kbn3Qs1Ec:4', '2026:Ml_Kbn3Qs1Ed', '2026:Ml_Kbn3Qs1Ed:1', '2026:Ml_Kbn3Qs1Ed:2', '2026:Ml_Kbn3Qs1Ed:3', '2026:Ml_L6N40Y0Vi', '2026:Ml_L6N40Y0Vi:555969004', '2026:Ml_S8N3Zf026', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Usn:Kbn3Qs1Ec', 'Usn:Kbn3Qs1Ed', 'Usn:L6N40Y0Vi', 'Usn:S8N3Zf026', 'Vguid:Tag:Reuters.Com']",2026-04-15 14:51:38.098062+00:00,['meta'],Wednesday
94513575,2026-04-15 13:53:43.761000+00:00,EU mahnt Meta wegen Gebhren fr KI-Assistenten von Dritten ab,reuters.com,"['2026:Ml_Kbn3Qs1I0', '2026:Ml_Kbn3Qs1I0:1', '2026:Ml_Kbn3Qs1I1', '2026:Ml_Kbn3Qs1I1:1', '2026:Ml_L8N40Y1Am', '2026:Ml_L8N40Y1Am:652347143', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Unknown Sector', 'Usn:Kbn3Qs1I0', 'Usn:Kbn3Qs1I1', 'Usn:L8N40Y1Am', 'Vguid:Tag:Reuters.Com']",2026-04-15 14:15:21.276852+00:00,"['googl', 'meta', 'msft', 'rddt', 'snap']",Wednesday
94512043,2026-04-15 13:01:36.379000+00:00,Meta Threatened With EU Restrictions Over WhatsApp AI Concerns,bloomberg.com,"['Stock', 'Technology', 'Tiingo Top']",2026-04-15 13:24:18.997282+00:00,['meta'],Wednesday
94511876,2026-04-15 12:58:38.966000+00:00,"Jane Street signs $6 billion AI cloud deal with CoreWeave, boosts stake",reuters.com,"['2026:Ml_Kbn3Qs1Cu', '2026:Ml_Kbn3Qs1Cu:1', '2026:Ml_Kbn3Qs1Cu:2', '2026:Ml_Kbn3Qs1Cv', '2026:Ml_Kbn3Qs1Cv:1', '2026:Ml_Kbn3Qs1Cv:2', '2026:Ml_L4N40Y138', '2026:Ml_L4N40Y138:1927508849', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Unknown Sector', 'Usn:Kbn3Qs1Cu', 'Usn:Kbn3Qs1Cv', 'Usn:L4N40Y138', 'Vguid:Tag:Reuters.Com']",2026-04-15 13:23:28.604914+00:00,"['crwv', 'meta']",Wednesday
94510495,2026-04-15 12:37:46.604000+00:00,Companies cutting jobs as investments shift toward AI,reuters.com,"['2026:Ml_Kbn3Pf1Zj', '2026:Ml_Kbn3Pf1Zj:1', '2026:Ml_Kbn3Pf1Zj:10', '2026:Ml_Kbn3Pf1Zj:11', '2026:Ml_Kbn3Pf1Zj:2', '2026:Ml_Kbn3Pf1Zj:3', '2026:Ml_Kbn3Pf1Zj:4', '2026:Ml_Kbn3Pf1Zj:5', '2026:Ml_Kbn3Pf1Zj:6', '2026:Ml_Kbn3Pf1Zj:7', '2026:Ml_Kbn3Pf1Zj:8', '2026:Ml_Kbn3Pf1Zj:9', '2026:Ml_Kbn3Pf1Zk', '2026:Ml_Kbn3Pf1Zk:1', '2026:Ml_Kbn3Pf1Zk:2', '2026:Ml_Kbn3Pf1Zk:3', '2026:Ml_Kbn3Pf1Zk:4', '2026:Ml_Kbn3Pf1Zk:5', '2026:Ml_Kbn3Pf1Zk:6', '2026:Ml_Kbn3Pf1Zk:7', '2026:Ml_Kbn3Pf1Zk:8', '2026:Ml_Kbn3Pf1Zk:9', '2026:Ml_L1N3Zn0Ni', '2026:Ml_L1N3Zn0Ni:1460657919', '2026:Ml_L1N40709W', '2026:Ml_L6N3Zn0Oa', '2026:Ml_L8N3Zl1Ug', '2026:Ml_L8N3Zn0Lp', '2026:Ml_L8N3Zn0Lp:1132231451', '2026:Ml_L8N3Zn1F4', '2026:Ml_L8N40Y0Yu', '2026:Ml_L8N40Y0Yu:412709105', 'Consumer Cyclical', 'Financial Services', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Unknown Sector', 'Usn:Kbn3Pf1Zj', 'Usn:Kbn3Pf1Zk', 'Usn:L1N3Zn0Ni', 'Usn:L1N40709W', 'Usn:L6N3Zn0Oa', 'Usn:L8N3Zl1Ug', 'Usn:L8N3Zn0Lp', 'Usn:L8N3Zn1F4', 'Usn:L8N40Y0Yu', 'Vguid:Tag:Reuters.Com']",2026-04-15 12:51:15.289553+00:00,"['adsk', 'amzn', 'bats', 'dow', 'gs', 'hpq', 'infy', 'meli', 'meta', 'nke', 'pins', 'prox', 'snap', 'team', 'tls', 'wtc', 'xyz']",Wednesday
94508565,2026-04-15 12:00:09.021000+00:00,"Jane Street Invests $1 Billion inCoreWeave, Boosts Spending Plans",bloomberg.com,"['Stock', 'Technology', 'Tiingo Top', 'Unknown Sector']",2026-04-15 12:05:12.009625+00:00,"['crwv', 'meta', 'msft', 'nvda']",Wednesday
94507177,2026-04-15 11:16:25.898000+00:00,"BORSA USA Futures stabili, focus su trimestrali",reuters.com,"['2026:Ml_Kbn3Qs13E', '2026:Ml_Kbn3Qs13E:1', '2026:Ml_Kbn3Qs13F', '2026:Ml_Kbn3Qs13F:1', '2026:Ml_L6N40Y0Nn', '2026:Ml_L6N40Y0Nn:1270748289', 'Consumer Cyclical', 'Financial Services', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Usn:Kbn3Qs13E', 'Usn:Kbn3Qs13F', 'Usn:L6N40Y0Nn', 'Vguid:Tag:Reuters.Com']",2026-04-15 11:33:01.386268+00:00,"['avgo', 'bac', 'meta', 'ms', 'nke']",Wednesday
94506306,2026-04-15 11:02:01.955000+00:00,Corporate America continues job cuts in 2026 in efficiency push,reuters.com,"['2026:Ml_Kbn3On1Ey', '2026:Ml_Kbn3On1Ey:1', '2026:Ml_Kbn3On1Ey:10', '2026:Ml_Kbn3On1Ey:11', '2026:Ml_Kbn3On1Ey:12', '2026:Ml_Kbn3On1Ey:13', '2026:Ml_Kbn3On1Ey:14', '2026:Ml_Kbn3On1Ey:15', '2026:Ml_Kbn3On1Ey:16', '2026:Ml_Kbn3On1Ey:2', '2026:Ml_Kbn3On1Ey:3', '2026:Ml_Kbn3On1Ey:4', '2026:Ml_Kbn3On1Ey:5', '2026:Ml_Kbn3On1Ey:6', '2026:Ml_Kbn3On1Ey:7', '2026:Ml_Kbn3On1Ey:8', '2026:Ml_Kbn3On1Ey:9', '2026:Ml_Kbn3On1Ez', '2026:Ml_Kbn3On1Ez:1', '2026:Ml_Kbn3On1Ez:10', '2026:Ml_Kbn3On1Ez:11', '2026:Ml_Kbn3On1Ez:12', '2026:Ml_Kbn3On1Ez:2', '2026:Ml_Kbn3On1Ez:3', '2026:Ml_Kbn3On1Ez:4', '2026:Ml_Kbn3On1Ez:5', '2026:Ml_Kbn3On1Ez:6', '2026:Ml_Kbn3On1Ez:7', '2026:Ml_Kbn3On1Ez:8', '2026:Ml_Kbn3On1Ez:9', '2026:Ml_L4N3Ys22G', '2026:Ml_L4N3Yu198', '2026:Ml_L4N3Yu198:1616623748', 'Basic Materials', 'Consumer Cyclical', 'Financial Services', 'Guid:Tag:Reuters.Com', 'Industrials', 'Stock', 'Technology', 'Unknown Sector', 'Usn:Kbn3On1Ey', 'Usn:Kbn3On1Ez', 'Usn:L4N3Ys22G', 'Usn:L4N3Yu198', 'Vguid:Tag:Reuters.Com']",2026-04-15 11:10:21.660178+00:00,"['adsk', 'ai', 'amzn', 'angi', 'c', 'dis', 'dow', 'fdx', 'form', 'gemi', 'hd', 'ma', 'meta', 'ms', 'nke', 'pega', 'pins', 'pton', 'snap', 'team', 'trox', 'ups', 'wday', 'xyz']",Wednesday
94505505,2026-04-15 10:15:43.955000+00:00,Snap to lay off about 16% of staff,reuters.com,"['2026:Ml_Kbn3Qs0Xn', '2026:Ml_Kbn3Qs0Xn:1', '2026:Ml_Kbn3Qs0Xo', '2026:Ml_Kbn3Qs0Xo:1', '2026:Ml_L4N40Y0Mn', '2026:Ml_L4N40Y0Mn:1555207420', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Unknown Sector', 'Usn:Kbn3Qs0Xn', 'Usn:Kbn3Qs0Xo', 'Usn:L4N40Y0Mn', 'Vguid:Tag:Reuters.Com']",2026-04-15 10:43:30.310133+00:00,"['googl', 'meta', 'pins', 'snap']",Wednesday
