id,publishedDate,title,url,description,source,tags,crawlDate,tickers
94545086,2026-04-16T10:49:02.167000Z,"Strong ASML, TSMC forecasts signal AI spending boom is intact",https://www.reuters.com/business/strong-asml-tsmc-forecasts-signal-ai-spending-boom-is-intact-2026-04-16/,,reuters.com,"['2026:Ml_Kbn3Qt13T', '2026:Ml_Kbn3Qt13T:1', '2026:Ml_Kbn3Qt13T:2', '2026:Ml_Kbn3Qt13U', '2026:Ml_Kbn3Qt13U:1', '2026:Ml_Kbn3Qt13U:2', '2026:Ml_L4N40Y1Gj', '2026:Ml_L4N40Y1Gj:1984503054', 'Consumer Cyclical', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Usn:Kbn3Qt13T', 'Usn:Kbn3Qt13U', 'Usn:L4N40Y1Gj', 'Vguid:Tag:Reuters.Com']",2026-04-16T11:11:25.519952Z,"['aapl', 'amd', 'amzn', 'asml', 'avgo', 'intc', 'meta', 'msft', 'nvda']"
94543391,2026-04-16T10:00:12.035000Z,Push to Make US Voters Love AI Gives Them New Cause to Fear It,https://www.bloomberg.com/news/features/2026-04-16/trump-governors-seek-to-soothe-ai-data-center-anger-ahead-of-midterms,,bloomberg.com,"['Consumer Cyclical', 'Industrials', 'Stock', 'Technology', 'Tiingo Top']",2026-04-16T10:07:18.172009Z,"['amzn', 'ge', 'meta', 'msft']"
94542464,2026-04-16T09:21:45.024000Z,Banken und Behrden prfen Cyberrisiken durch neue KI,https://www.reuters.com/de/wirtschaft/banken-und-behrden-prfen-cyberrisiken-durch-neue-ki-2026-04-16/,,reuters.com,"['2026:Ml_Kbn3Qt0W2', '2026:Ml_Kbn3Qt0W2:1', '2026:Ml_Kbn3Qt0W3', '2026:Ml_Kbn3Qt0W3:1', '2026:Ml_L8N40Z0Nu', '2026:Ml_L8N40Z0Nu:760720948', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Usn:Kbn3Qt0W2', 'Usn:Kbn3Qt0W3', 'Usn:L8N40Z0Nu', 'Vguid:Tag:Reuters.Com']",2026-04-16T09:33:38.078898Z,"['googl', 'meta', 'msft', 'nvda']"
94540072,2026-04-16T06:42:08.545000Z,Prince Harry praises Australia's leadership on social media ban as Meghan tells of online bullying,https://www.reuters.com/world/uk/prince-harry-praises-australias-leadership-social-media-ban-meghan-tells-online-2026-04-16/,,reuters.com,"['2026:Ml_Kbn3Qt0Kl', '2026:Ml_Kbn3Qt0Kl:1', '2026:Ml_Kbn3Qt0Kl:2', '2026:Ml_Kbn3Qt0Km', '2026:Ml_Kbn3Qt0Km:1', '2026:Ml_L4N40Z0Gs', '2026:Ml_L4N40Z0Gs:745792241', '2026:Ml_M1L4N40Z0Gs', '2026:Ml_M1L4N40Z0Gs:745792241', 'Australia', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Usn:Kbn3Qt0Kl', 'Usn:Kbn3Qt0Km', 'Usn:L4N40Z0Gs', 'Usn:M1L4N40Z0Gs', 'Vguid:Tag:Reuters.Com']",2026-04-16T07:03:36.944601Z,"['googl', 'meta']"
94531906,2026-04-15T21:52:20.130000Z,"""Hganse responsables"", diceel primer ministro britnico Starmer a las empresas de redes sociales",https://www.reuters.com/es/tecnolog%C3%ADa/FQIAGZYCKRIIVFK5JXD7KBVFAU-2026-04-15/,,reuters.com,"['2026:Ml_Kbn3Qs2M6', '2026:Ml_Kbn3Qs2M6:1', '2026:Ml_Kbn3Qs2M7', '2026:Ml_Kbn3Qs2M7:1', '2026:Ml_L6N40Y1Fz', '2026:Ml_L6N40Y1Fz:1882851082', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Usn:Kbn3Qs2M6', 'Usn:Kbn3Qs2M7', 'Usn:L6N40Y1Fz', 'Vguid:Tag:Reuters.Com']",2026-04-15T22:03:34.309130Z,"['googl', 'meta', 'snap']"
94531817,2026-04-15T21:33:43.718000Z,'Take responsibility': UK PM Starmer tells social media firms on online safety,https://www.reuters.com/world/uk/take-responsibility-uk-pm-starmer-tells-social-media-firms-online-safety-2026-04-15/,,reuters.com,"['2026:Ml_Kbn3Qs2L8', '2026:Ml_Kbn3Qs2L8:1', '2026:Ml_Kbn3Qs2L9', '2026:Ml_Kbn3Qs2L9:1', '2026:Ml_L8N40Y10B', '2026:Ml_L8N40Y10B:1138769897', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Usn:Kbn3Qs2L8', 'Usn:Kbn3Qs2L9', 'Usn:L8N40Y10B', 'Vguid:Tag:Reuters.Com']",2026-04-15T21:57:48.184925Z,"['googl', 'meta', 'snap']"
94531686,2026-04-15T21:30:00.002000Z,UK’s Starmer Summons US Social Media Firms Over Online Safety,https://www.bloomberg.com/news/articles/2026-04-15/uk-s-starmer-summons-us-social-media-firms-over-online-safety,,bloomberg.com,"['Stock', 'Technology', 'Tiingo Top']",2026-04-15T21:48:32.679062Z,"['googl', 'meta', 'snap']"
94531015,2026-04-15T21:17:55.256000Z,Canada Is Mulling Age Restrictions on AI Chatbots and Social Media,https://www.bloomberg.com/news/articles/2026-04-15/canada-is-mulling-age-restrictions-on-ai-chatbots-and-social-media,,bloomberg.com,"['Canada', 'Stock', 'Technology', 'Tiingo Top']",2026-04-15T21:26:27.868197Z,"['googl', 'meta']"
94530272,2026-04-15T21:00:00.486000Z,"Trump, AI powering a dealmaking boom",https://www.reuters.com/technology/artificial-intelligence/trump-ai-powering-dealmaking-boom-2026-04-15/,,reuters.com,"['2026:Ml_L1N40Y0Z3', '2026:Ml_L1N40Y0Z3:2037610685', 'Communication Services', 'Consumer Cyclical', 'Guid:Tag:Reuters.Com', 'Industrials', 'Stock', 'Technology', 'Usn:L1N40Y0Z3', 'Vguid:Tag:Reuters.Com']",2026-04-15T21:05:22.508521Z,"['aal', 'amzn', 'googl', 'gsat', 'meta', 'ual']"
94518261,2026-04-15T15:41:51.467000Z,Einsparungen durch KI: Snapchat streicht ein Sechstel der Jobs,https://www.reuters.com/de/firma/einsparungen-durch-ki-snapchat-streicht-ein-sechstel-der-jobs-2026-04-15/,,reuters.com,"['2026:Ml_Kbn3Qs1Us', '2026:Ml_Kbn3Qs1Us:1', '2026:Ml_Kbn3Qs1Us:2', '2026:Ml_Kbn3Qs1Ut', '2026:Ml_Kbn3Qs1Ut:1', '2026:Ml_L8N40Y1Jx', '2026:Ml_L8N40Y1Jx:1874372780', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Unknown Sector', 'Usn:Kbn3Qs1Us', 'Usn:Kbn3Qs1Ut', 'Usn:L8N40Y1Jx', 'Vguid:Tag:Reuters.Com']",2026-04-15T16:07:26.552273Z,"['googl', 'meta', 'msft', 'rddt', 'snap']"
