date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,previous_day_close,previous_day_high,previous_day_low,previous_day_open,previous_day_volume,5_day_max,5_day_min,10_day_max,10_day_min,30_day_max,30_day_min,day_of_week,numerical_sentiment,mean_sentiment_probability,percent_positive,percent_negative,percent_neutral
2026-04-21,668.84,676.2,667.33,671.0,8660100,668.84,676.2,667.33,671.0,8660100,0.0,1.0,670.91,683.38,668.0,681.36,12533951.0,691.52,667.33,691.52,624.4,691.52,520.26,2,0.1333333333333333,0.7556668063004811,0.2666666666666666,0.1333333333333333,0.6
2026-04-22,674.72,678.38,669.75,674.355,9215603,674.72,678.38,669.75,674.355,9215603,0.0,1.0,668.84,676.2,667.33,671.0,8660100.0,683.38,667.33,691.52,624.4,691.52,520.26,3,0.0476190476190476,0.8287804694402785,0.2857142857142857,0.238095238095238,0.4761904761904761
2026-04-23,659.15,669.56,653.05,663.7,11666981,659.15,669.56,653.05,663.7,11666981,0.0,1.0,674.72,678.38,669.75,674.355,9215603.0,683.38,653.05,691.52,639.3705,691.52,520.26,4,0.0,0.8010609437312398,0.1785714285714285,0.1785714285714285,0.6428571428571429
2026-04-24,675.03,680.67,653.8401,660.32,13348279,675.03,680.67,653.8401,660.32,13348279,0.0,1.0,659.15,669.56,653.05,663.7,11666981.0,683.38,653.05,691.52,653.05,691.52,520.26,5,-0.1388888888888889,0.7709043464726872,0.1388888888888889,0.2777777777777778,0.5833333333333334
